A,BundeslandId,Altersgruppe,AnzFallM,AnzFallW,AnzTodesfallM,AnzTodesfallW,AnzFall100kM,AnzFall100kW,AnzTodesfall100kM,AnzTodesfall100kW,ObjectId
7132,7,A80+,122,278,34,39,3396.4,4723.9,946.5,662.7,1065
7133,7,A00-A04,186,159,0,0,4908.9,4375.3,0,0,1066
7133,7,A05-A14,493,454,0,0,6785,6575.9,0,0,1067
7133,7,A15-A34,1131,1152,0,0,6677.3,7245.3,0,0,1068
7133,7,A35-A59,1402,1540,2,4,5256.6,5591.1,7.5,14.5,1069
7133,7,A60-A79,510,535,21,17,2791,2668.7,114.9,84.8,1070
7133,7,A80+,205,385,47,57,4444.9,5371.1,1019.1,795.2,1071
7134,7,A00-A04,155,130,0,0,7742.3,7030.8,0,0,1072
7134,7,A05-A14,355,317,0,0,10142.9,9451.4,0,0,1073
7134,7,A15-A34,855,741,0,0,9419.4,9437.1,0,0,1074
7134,7,A35-A59,643,734,2,1,4844.4,5530,15.1,7.5,1075
7134,7,A60-A79,349,294,18,9,3619.6,2848.6,186.7,87.2,1076
7134,7,A80+,121,260,27,43,4666.4,6350.8,1041.3,1050.3,1077
7135,7,A00-A04,45,33,0,0,3435.1,2623.2,0,0,1078
7135,7,A05-A14,164,159,0,0,6349.2,6649.9,0,0,1079
7135,7,A15-A34,406,399,0,0,6005,6846.3,0,0,1080
7135,7,A35-A59,487,537,2,0,4608.7,5148.6,18.9,0,1081
7135,7,A60-A79,234,200,17,8,3065.6,2605.9,222.7,104.2,1082
7135,7,A80+,77,155,14,29,3842.3,4939.5,698.6,924.2,1083
7137,7,A00-A04,142,147,0,0,2682.3,2941.2,0,0,1084
7137,7,A05-A14,514,524,0,0,5262.6,5585.2,0,0,1085
7137,7,A15-A34,1500,1402,0,0,6210.7,6344.5,0,0,1086
7137,7,A35-A59,1806,1829,6,2,4866.7,4904.8,16.2,5.4,1087
7137,7,A60-A79,698,683,43,21,2932.4,2675.3,180.6,82.3,1088
