age_ratio,icu_ratio,facecolor,facecolor_id,admin_unit
68,33,#be64ac,7,16054
75,23,#dfb0d6,4,16055
76,26,#be64ac,7,16056
95,24,#3b4994,9,16061
73,27,#be64ac,7,16062
81,26,#8c62aa,8,16063
94,26,#3b4994,9,16064
100,28,#3b4994,9,16065
93,27,#3b4994,9,16066
68,26,#be64ac,7,16067
83,25,#8c62aa,8,16068
83,25,#8c62aa,8,16069
76,26,#be64ac,7,16070
94,24,#3b4994,9,16071
75,28,#be64ac,7,16072
82,30,#8c62aa,8,16073
75,26,#be64ac,7,16074
75,27,#be64ac,7,16075
100,30,#3b4994,9,16076
91,31,#3b4994,9,16077
