bundesland,gemeindeschluessel,anzahl_meldebereiche,faelle_covid_aktuell,faelle_covid_aktuell_invasiv_beatmet,anzahl_standorte,betten_frei,betten_belegt,daten_stand,betten_belegt_nur_erwachsen,betten_frei_nur_erwachsen,verh_frei_belegt,Anteil ueber 65-Jaehrigen
7,7313,3,2,1,2,5,13,19.12.21 12:15,12,2,"4,66666666666667",19
7,7314,6,23,12,4,10,92,19.12.21 12:15,79,7,"28,6666666666667",19
7,7315,3,17,9,2,10,97,19.12.21 12:15,80,9,"29,6666666666667",18
7,7316,1,3,1,1,1,14,19.12.21 12:15,14,1,5,25
7,7317,2,3,2,1,2,14,19.12.21 12:15,12,0,4,26
7,7318,3,10,4,2,2,25,19.12.21 12:15,24,2,"8,66666666666667",23
7,7319,3,8,4,1,6,42,19.12.21 12:15,24,2,"8,66666666666667",21
7,7320,1,1,0,1,2,7,19.12.21 12:15,7,2,3,23
7,7331,1,1,1,1,1,5,19.12.21 12:15,5,1,2,20
7,7332,2,6,1,2,3,11,19.12.21 12:15,11,3,"4,66666666666667",24
7,7333,2,3,0,2,2,10,19.12.21 12:15,10,2,4,22
7,7334,2,6,5,2,4,15,19.12.21 12:15,15,4,"6,33333333333333",20
7,7335,1,2,0,1,5,5,19.12.21 12:15,5,5,"3,33333333333333",22
7,7336,1,2,1,1,0,16,19.12.21 12:15,16,0,"5,33333333333333",24
7,7337,2,0,0,2,1,11,19.12.21 12:15,11,1,4,24
7,7338,,,,,,,,,,,23
7,7339,1,0,0,1,1,8,19.12.21 12:15,8,1,3,21
7,7340,1,0,0,1,7,2,19.12.21 12:15,2,7,3,26
8,8111,12,60,33,10,27,218,19.12.21 12:15,197,26,"74,3333333333333",18
8,8115,6,13,6,4,2,46,19.12.21 12:15,33,2,"11,6666666666667",20
8,8116,8,27,15,4,11,70,19.12.21 12:15,61,4,"21,6666666666667",21
8,8117,4,8,4,2,16,28,19.12.21 12:15,25,7,"10,6666666666667",22
8,8118,5,33,12,4,3,81,19.12.21 12:15,80,2,"27,3333333333333",20
8,8119,4,18,7,2,15,49,19.12.21 12:15,41,10,17,21
8,8121,3,18,14,1,6,46,19.12.21 12:15,35,5,"13,3333333333333",19
8,8125,2,4,4,2,7,52,19.12.21 12:15,52,7,"19,6666666666667",19
8,8126,1,6,4,1,0,7,19.12.21 12:15,7,0,"2,33333333333333",20
8,8127,4,8,3,2,7,43,19.12.21 12:15,37,5,14,20
8,8128,4,4,3,3,17,40,19.12.21 12:15,30,11,"13,6666666666667",23
8,8135,2,5,0,1,4,16,19.12.21 12:15,14,0,"4,66666666666667",22
8,8136,8,10,2,4,13,55,19.12.21 12:15,40,10,"16,6666666666667",21
8,8211,3,7,3,1,2,22,19.12.21 12:15,13,1,"4,66666666666667",26
8,8212,6,23,14,4,7,101,19.12.21 12:15,93,3,32,19
8,8215,3,15,7,3,7,43,19.12.21 12:15,43,7,"16,6666666666667",21
8,8216,2,1,0,2,0,10,19.12.21 12:15,10,0,"3,33333333333333",22
8,8221,8,37,28,6,17,195,19.12.21 12:15,166,10,"58,6666666666667",17
8,8222,6,39,29,3,10,117,19.12.21 12:15,100,4,"34,6666666666667",18
8,8225,3,4,2,3,10,13,19.12.21 12:15,13,10,"7,66666666666667",22
8,8226,4,10,5,4,3,31,19.12.21 12:15,31,3,"11,3333333333333",22
8,8231,4,14,5,2,10,50,19.12.21 12:15,41,9,"16,6666666666667",20
8,8235,3,5,1,3,8,16,19.12.21 12:15,16,8,8,21
8,8236,2,5,2,2,2,11,19.12.21 12:15,11,2,"4,33333333333333",21
8,8237,1,3,3,1,1,11,19.12.21 12:15,11,1,4,21
8,8311,7,42,27,4,34,168,19.12.21 12:15,140,26,"55,3333333333333",17
8,8315,3,1,0,3,8,21,19.12.21 12:15,21,8,"9,66666666666667",22
8,8316,4,7,2,4,2,100,19.12.21 12:15,100,2,34,21
8,8317,8,19,7,6,14,69,19.12.21 12:15,62,6,"22,6666666666667",21
8,8325,2,6,6,2,2,10,19.12.21 12:15,10,2,4,21
8,8326,6,21,5,2,3,58,19.12.21 12:15,48,2,"16,6666666666667",22
8,8327,1,6,3,1,7,9,19.12.21 12:15,9,7,"5,33333333333333",20
8,8335,10,13,6,6,21,69,19.12.21 12:15,57,14,"23,6666666666667",21
8,8336,2,3,2,2,1,28,19.12.21 12:15,13,1,"4,66666666666667",21
8,8337,1,5,4,1,3,7,19.12.21 12:15,7,3,"3,33333333333333",21
8,8415,3,8,6,1,7,37,19.12.21 12:15,20,0,"6,66666666666667",21
8,8416,5,27,22,2,1,103,19.12.21 12:15,75,0,25,18
8,8417,2,10,2,2,5,19,19.12.21 12:15,19,5,8,22
8,8421,5,29,20,4,7,116,19.12.21 12:15,98,6,"34,6666666666667",18
8,8425,2,5,1,2,1,14,19.12.21 12:15,14,1,5,19
8,8426,1,4,3,1,1,15,19.12.21 12:15,15,1,"5,33333333333333",19
8,8435,5,8,5,3,19,35,19.12.21 12:15,33,16,"16,3333333333333",23
8,8436,6,24,9,4,15,49,19.12.21 12:15,49,3,"17,3333333333333",20
8,8437,2,5,3,2,1,9,19.12.21 12:15,9,1,"3,33333333333333",21
9,9161,1,23,10,1,5,45,19.12.21 12:15,45,5,"16,6666666666667",18
9,9162,35,122,81,24,35,507,19.12.21 12:15,439,19,"152,666666666667",17
9,9163,3,9,6,1,8,35,19.12.21 12:15,28,1,"9,66666666666667",20
9,9171,3,12,8,2,0,27,19.12.21 12:15,20,0,"6,66666666666667",22
9,9172,3,5,3,3,4,15,19.12.21 12:15,15,4,"6,33333333333333",24
9,9173,2,11,2,2,5,26,19.12.21 12:15,26,5,"10,3333333333333",22
9,9174,1,8,3,1,2,26,19.12.21 12:15,26,2,"9,33333333333333",19
9,9175,1,8,5,1,0,20,19.12.21 12:15,20,0,"6,66666666666667",19
9,9176,3,17,10,3,5,42,19.12.21 12:15,42,5,"15,6666666666667",18
9,9177,1,3,2,1,2,16,19.12.21 12:15,16,2,6,17
9,9178,1,9,4,1,2,13,19.12.21 12:15,13,2,5,16
9,9179,1,5,4,1,0,10,19.12.21 12:15,10,0,"3,33333333333333",22
9,9180,4,13,7,2,4,53,19.12.21 12:15,49,1,"16,6666666666667",25
9,9181,2,5,1,1,2,12,19.12.21 12:15,11,0,"3,66666666666667",20
9,9182,1,7,6,1,5,21,19.12.21 12:15,21,5,"8,66666666666667",23
9,9183,1,4,2,1,2,13,19.12.21 12:15,13,2,5,20
9,9184,2,1,1,2,1,7,19.12.21 12:15,7,1,"2,66666666666667",20
9,9185,4,5,4,2,8,27,19.12.21 12:15,12,3,5,19
9,9186,1,1,1,1,3,5,19.12.21 12:15,5,3,"2,66666666666667",18
9,9187,5,20,17,5,5,60,19.12.21 12:15,60,5,"21,6666666666667",22
9,9188,6,13,5,5,4,41,19.12.21 12:15,41,4,15,23
9,9189,3,13,12,2,11,43,19.12.21 12:15,32,9,"13,6666666666667",23
9,9190,3,6,6,3,6,17,19.12.21 12:15,17,6,"7,66666666666667",22
9,9261,5,12,10,3,4,51,19.12.21 12:15,33,2,"11,6666666666667",20
9,9262,4,10,7,2,8,39,19.12.21 12:15,29,4,11,21
9,9263,1,6,2,1,1,26,19.12.21 12:15,26,1,9,22
9,9271,2,15,10,2,4,30,19.12.21 12:15,30,4,"11,3333333333333",21
9,9272,2,5,5,2,3,15,19.12.21 12:15,15,3,6,22
9,9273,3,6,0,3,2,12,19.12.21 12:15,12,2,"4,66666666666667",19
9,9274,1,3,1,1,1,5,19.12.21 12:15,5,1,2,19
9,9275,2,8,4,2,8,17,19.12.21 12:15,17,8,"8,33333333333333",22
9,9276,2,6,2,2,1,15,19.12.21 12:15,15,1,"5,33333333333333",23
9,9277,2,4,3,2,2,14,19.12.21 12:15,14,2,"5,33333333333333",22
9,9278,2,8,6,2,0,12,19.12.21 12:15,12,0,4,20
9,9279,2,0,0,2,1,11,19.12.21 12:15,11,1,4,19
9,9361,3,12,6,1,8,34,19.12.21 12:15,28,3,"10,3333333333333",24
9,9362,7,48,38,4,28,178,19.12.21 12:15,160,19,"59,6666666666667",17
9,9363,3,14,7,1,5,48,19.12.21 12:15,42,1,"14,3333333333333",23
9,9371,1,7,7,1,6,8,19.12.21 12:15,8,6,"4,66666666666667",21
9,9372,1,4,4,1,1,8,19.12.21 12:15,8,1,3,22
9,9373,1,6,5,1,5,17,19.12.21 12:15,17,5,"7,33333333333333",19
9,9374,,,,,,,,,,,21
9,9375,2,4,3,2,1,9,19.12.21 12:15,9,1,"3,33333333333333",20
9,9376,4,9,5,4,9,17,19.12.21 12:15,17,9,"8,66666666666667",21
9,9377,2,4,2,2,0,14,19.12.21 12:15,14,0,"4,66666666666667",23
